country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Afghanistan,Islamic State of Afghanistan,Afghan afghani,Kabul,Southern Asia,Asia,Afghan,33.0,65.0,383560.0,12084.4,652230.0,636173.0,3993.84,,39.2201,14583100000.0,2.30237,84.3339,9.89845,11.71,82.6907,97.7,,,,,,,,,,17.86,8709.47,16222.0,4863.39,-1800.0,0.0,16.8261,81.3198,0.39,0.04,4.1,278000.0,4394000,1.35886,35.842,7.344,4.643,18.4,62.0,-183672,20362329,20766442,41128771,27.0161,30181937,10946834,2.14,2.97,Authoritarian,12.9,Ashraf Ghani,President
Albania,Republic of Albania,Albanian lek,Tirana,Southern Europe,Europe,Albanian,41.0,20.0,11655.5,7889.0,27400.0,27331.6,827.694,82.3836,24.5363,18882100000.0,6.7252,53.0455,18.1986,11.808,50.0624,100.0,24.548,0.0,100.0,0.0,0.0,0.0,0.0,13.798,61.4218,44.58,4383.2,2692.2,1015.19,11.6814,6.36726,6.65959,350.835,2.89,0.03,4.3,8000.0,,1.41564,10.24,11.325,1.39,79.32,76.0,-10612,1391085,1384548,2775634,35.7143,1004807,1770827,2.62,5.98,Hybrid regime,33.7,Edi Rama,Prime Minister
Algeria,People's Democratic Republic of Algeria,Algerian dinar,Algiers,Northern Africa,Africa,Algerian,28.0,3.0,413588.0,19490.0,2381740.0,2305480.0,9357.1,,,191913000000.0,9.26552,30.5259,,11.55,26.0712,99.7878,0.030106,0.0,0.210762,98.3575,0.0,1.31981,0.111922,-177.124,99.9779,0.15,161563.0,86543.9,12578.7,-7720.56,1.12475,6.32118,214.852,1.9,0.04,2.5,317000.0,2500,5.59258,21.524,4.546,2.889,70.77,76.0,-18797,22040987,22862237,44903225,8.10811,11328186,33575039,1.71,3.5,Authoritarian,24.0,Abdelmadjid Tebboune,President
Andorra,Principality of Andorra,Euro,Andorra la Vella,Southern Europe,Europe,Andorran,42.5,1.5,187.2,160.0,470.0,409.497,30.9358,,,3352030000.0,,,,,,100.0,,,,,,,,,,20.59,448.884,53.601,1.75881,,0.0,9.05176,3336.92,2.5,,,,,,7.0,3.9,1.27,93.8975,,1377,39038,40786,79824,46.4286,9730,70094,3.17,0.0,Unknown,38.9,Xavier Espot Zamora,Head of Government
Angola,People's Republic of Angola,Angolan kwanza,Luanda,Middle Africa,Africa,Angolan,-12.5,18.5,569525.0,666074.0,1246700.0,1251000.0,2991.35,,16.685,106714000000.0,25.7543,65.8522,10.0904,10.209,61.3252,48.2239,2.54884,0.0,53.1749,0.0,0.0,46.8251,0.0,-540.997,48.3056,61.02,19814.5,32703.2,17757.9,5203.07,1.22031,2.91183,50.7426,0.8,0.52,6.1,117000.0,,1.13206,38.809,8.009,5.304,32.6023,62.0,29089,17998220,17590767,35588987,33.6364,11359649,24229338,2.24,3.62,Authoritarian,12.4,João Lourenço,President
Antigua and Barbuda,Antigua and Barbuda,East Caribbean dollar,Saint John's,Caribbean,Americas,Antiguan,17.05,-61.8,90.0,81.2,440.0,396.335,31.8633,,,1757600000.0,7.53108,,,,,100.0,,,,,,,,,0.0,0.72,474.6,204.866,11.7635,471.237,3.97656,5.61473,830.34,2.89,,0.4,0.0,,,12.115,6.365,1.58,95.6634,78.0,0,48981,44782,93763,11.1111,70935,22828,0.0,0.0,Unknown,31.1,Gaston Browne,Prime Minister
Argentina,Argentine Republic,Argentine peso,Buenos Aires,South America,Americas,Argentine,-34.0,-64.0,1083820.0,285730.0,2736690.0,2735390.0,11432.7,,22.8656,632770000000.0,,28.6018,11.4844,6.491,25.4633,100.0,5.5015,2.02957,26.2416,49.4823,4.16673,15.4232,1.89849,13.0294,87.7224,9.84,154536.0,131036.0,51061.5,3701.73,0.896205,9.98438,863.714,4.99,0.11,8.4,103000.0,,0.565318,13.902,8.955,1.885,87.1507,75.0,2344,23345532,22889298,46234830,44.7471,3538352,42696478,2.76,7.02,Flawed democracy,27.6,Alberto Fernández,President
Armenia,Republic of Armenia,Armenian dram,Yerevan,Western Asia,Asia,Armenian,40.0,45.0,16760.0,3284.7,28470.0,27342.2,922.335,60.1562,25.0,19502800000.0,8.64091,30.5691,22.0288,12.557,29.0658,100.0,25.7183,0.0,28.2857,35.9149,31.8065,0.0,0.0512886,71.3413,74.5619,8.38,6746.6,2319.92,1173.58,722.155,0.0,12.241,551.543,4.2,,3.3,49000.0,8400,4.44012,12.049,13.007,1.575,78.6123,72.0,-12825,1530390,1250079,2780469,35.514,1012841,1767628,2.7,4.79,Hybrid regime,30.8,Nikol Pashinyan,Prime Minister
Australia,Commonwealth of Australia,Australian dollar,Canberra,Australia and New Zealand,Oceania,Australian,-27.0,133.0,3557750.0,1340050.0,7692020.0,7650420.0,11946.0,70.1764,32.7189,1675420000000.0,6.5941,16.6016,23.1275,3.661,10.7567,100.0,2.15439,62.8716,5.29618,20.7955,0.0,2.69506,8.34166,-190.191,89.6256,10.89,378997.0,131485.0,49331.8,-17268.7,2.70968,10.649,5901.11,3.84,0.02,12.5,59000.0,,1.97842,12.1,6.7,1.7,96.24,83.0,117929,13079142,12899794,25978935,38.4106,3510274,22468661,4.73,9.09,Full democracy,33.3,Anthony Albanese,Prime Minister
Austria,Republic of Austria,Euro,Vienna,Western Europe,Europe,Austrian,47.33333333,13.33333333,26467.6,38991.5,82520.0,80030.9,2973.71,94.321,49.9715,471400000000.0,8.54687,11.7563,25.783,4.707,7.48276,100.0,12.2129,8.22661,59.9971,12.6014,0.0,1.39404,16.4937,63.5449,65.6618,35.77,59142.4,6863.08,3759.74,-8604.11,0.0,12.1736,6491.12,7.27,,14.6,22000.0,,0.802122,9.6,10.3,1.48,92.5292,81.0,20314,4590655,4451873,9042528,40.9836,3684288,5358240,5.1,8.29,Full democracy,39.0,Sebastian Kurz,Federal Chancellor
Azerbaijan,Republic of Azerbaijan,New Azeri manat,Baku,Western Asia,Asia,Azerbaijani,40.5,47.5,47801.0,11317.7,82646.0,82218.7,2589.86,16.8224,27.1444,78721100000.0,13.8523,66.2843,13.4213,5.462,54.4642,100.0,0.572046,0.0,6.63075,86.0823,0.0,6.50924,0.409106,-310.385,98.366,1.23,34305.0,15733.1,4793.55,-514.235,0.0,4.60677,191.227,4.82,0.03,4.1,82000.0,659000,5.27006,11.1,7.6,1.52,86.0,69.0,1084,5154492,5020523,10175016,18.3333,4357959,5817057,1.32,2.65,Authoritarian,27.9,Ilham Aliyev,President
Bahrain,Kingdom of Bahrain,Bahraini dinar,Manama,Western Asia,Asia,Bahraini,26.0,50.55,86.0,7.0,785.0,335.707,330.292,29.3986,20.1761,44390800000.0,3.62574,2.61064,4.21684,1.399,1.04828,100.0,0.0,0.0,0.0,99.9684,0.0,0.0315967,0.0,-61.5843,99.3658,0.0,32470.2,17641.4,171.638,8391.62,31.9817,4.723,1110.0,1.74,0.05,8.9,19000.0,,3.55826,11.926,2.479,1.811,100.0,79.0,-9150,560034,912199,1472233,20.0,151007,1321226,1.28,2.71,Authoritarian,29.2,Sheikh Hamad bin Isa Al Khalifa,King
Bangladesh,People's Republic of Bangladesh,Bangladeshi taka,Dhaka,Southern Asia,Asia,Bangladeshi,24.0,90.0,99010.0,18834.0,130170.0,79328.9,56970.0,31.2045,8.32425,460201000000.0,7.69695,59.0319,7.64236,4.699,53.6738,98.991,0.1535,1.68952,0.959143,80.7036,0.0,16.38,0.267747,16.8417,73.7689,27.96,85493.1,88904.0,28076.8,1513.77,6.06484,2.62801,50.6641,0.79,0.01,3.7,227000.0,427000,1.26978,17.821,5.68,1.981,38.9174,72.0,-174500,86327159,84859213,171186372,20.8571,103206552,67979820,1.54,5.57,Hybrid regime,22.7,Sheikh Hasina,Prime Minister
Barbados,Barbados,Barbados dollar,Bridgetown,Caribbean,Americas,Barbadian,13.16666666,-59.53333333,100.0,63.0,430.0,248.527,187.588,146.927,33.805,5637910000.0,4.10029,19.2192,27.4785,8.203,18.7074,100.0,,,,,,,,,0.0,4.68,1096.07,2359.57,38.4787,-101.447,1.84675,7.20014,1199.71,5.97,0.24,0.6,1000.0,,,10.832,9.007,1.633,85.82,78.0,-28,146550,135084,281635,26.6667,193416,88219,0.0,0.0,Unknown,35.2,Mia Mottley,Prime Minister
Belarus,Republic of Belarus,Belarusian rubel,Minsk,Eastern Europe,Europe,Belarusian,53.0,28.0,82810.0,87676.0,202980.0,201456.0,2882.6,33.2442,29.9281,72793500000.0,15.2097,3.77292,12.0229,4.17,2.94508,100.0,0.0539211,0.0,0.313949,97.8669,0.0,1.06214,0.501731,86.7797,92.4404,8.39,54801.5,17079.3,15902.5,-7365.67,0.0,6.40607,408.095,10.83,0.12,21.2,155000.0,,1.15581,9.283,16.544,1.483,86.89,72.0,12961,4968656,4240046,9208701,40.0,1811720,7396981,1.51,3.13,Authoritarian,36.5,Alexander Lukashenko,President
Belgium,Kingdom of Belgium,Euro,Brussels,Western Europe,Europe,Belgian,50.83333333,4.0,13646.1,6893.0,30280.0,22780.5,7730.88,109.224,41.6988,578604000000.0,9.59751,14.0149,23.3495,5.631,10.7014,100.0,15.1103,6.10801,0.457238,32.8061,37.5324,0.300512,20.3428,80.0918,75.8708,12.28,85364.1,7974.09,4564.2,2697.19,4.23288,11.0645,5009.46,5.58,,18.3,26000.0,,1.08181,10.2,9.7,1.6,92.79,82.0,52356,5903468,5765978,11669446,42.6667,215535,11453911,6.48,7.78,Flawed democracy,37.1,Sophie Wilmès,Prime Minister
Belize,Belize,Belize dollar,Belmopan,Central America,Americas,Belizean,17.25,-88.75,1720.0,12770.5,22810.0,21708.4,122.9,61.0377,22.1486,2824080000.0,3.23564,35.8871,21.1602,9.687,30.9492,97.6921,,,,,,,,,0.0,31.35,687.6,514.045,205.409,-344.105,28.4692,6.92426,277.99,1.04,0.42,7.1,2000.0,,1.25358,17.976,6.353,2.01,61.9942,70.0,577,201525,203747,405272,12.5,217242,188030,2.84,0.0,Unknown,21.6,Dean Barrow,Prime Minister
Benin,Republic of Benin,West African CFA franc,Porto-Novo,Western Africa,Africa,Beninese,9.5,2.25,39500.0,31351.5,112760.0,113691.0,2005.91,,,17401700000.0,1.35078,89.8314,10.7891,1.654,88.4052,41.9736,0.0,0.0,4.09357,0.0,0.0,94.4444,1.46199,46.5907,36.7246,46.2,7980.4,4029.62,3007.64,1486.29,6.0032,2.58937,32.1271,0.5,0.14,7.8,12000.0,1200,0.560621,36.608,9.434,4.973,33.9653,60.0,1732,6663569,6689295,13352864,7.40741,6738656,6614208,2.46,5.74,Hybrid regime,13.6,Patrice Talon,President
Bhutan,Kingdom of Bhutan,Bhutanese ngultrum,Thimphu,Southern Asia,Asia,Bhutanese,27.5,90.5,5130.0,27250.8,38140.0,39040.7,28.6028,117.33,25.4473,2539550000.0,5.63917,73.0567,12.9842,3.604,72.9568,100.0,,,,,,,,,0.0,87.45,1035.2,451.524,97.2654,-422.1,0.0,4.37175,133.703,1.74,0.1,4.6,6000.0,,,12.482,6.477,1.413,85.6369,72.0,291,368525,413930,782455,17.3913,440632,341823,2.62,5.3,Hybrid regime,24.8,Lotay Tshering,Prime Minister
Bolivia,Plurinational State of Bolivia,Bolivian Boliviano,Sucre,South America,Americas,Bolivian,-17.0,-65.0,377870.0,508338.0,1083300.0,1059510.0,1767.52,68.3399,21.811,43068900000.0,1.74633,69.116,16.9649,4.419,66.0231,98.5562,1.97498,0.0,28.8813,66.3462,0.0,2.25141,2.52111,-177.986,84.1533,16.86,18375.3,26597.8,9838.14,2436.27,0.0,7.85706,241.118,1.29,0.13,6.2,71000.0,31,1.54446,21.836,9.945,2.618,65.9774,64.0,-4666,6097747,6126364,12224110,46.1538,3565773,8658337,2.21,5.7,Hybrid regime,20.1,Jeanine Áñez,President
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Sarajevo,Southern Europe,Europe,Bosnian,44.0,18.0,22160.0,21879.1,51200.0,49134.7,1641.93,47.0208,34.893,24527500000.0,14.0208,17.9751,19.1168,14.053,12.2629,100.0,4.27387,63.9772,35.5173,0.191951,0.0,0.31352,0.0,22.7301,77.522,37.71,20946.8,3660.95,1283.7,-3144.12,0.0,9.84113,591.406,3.49,,10.9,11000.0,91000,0.894938,8.42,15.712,1.35,75.6762,75.0,-25865,1641713,1591814,3233526,16.6667,1621904,1611622,2.69,4.98,Hybrid regime,38.1,Valentin Inzko,High Representative
Botswana,Republic of Botswana,Botswana pula,Gaborone,Southern Africa,Africa,Motswana,-22.0,24.0,258620.0,152547.0,566730.0,572887.0,804.346,19.6161,28.4093,20352300000.0,11.6656,28.2706,22.246,20.684,26.0135,73.7259,0.00316581,96.36,0.0,0.0,0.0,3.60634,0.0337041,44.5,74.688,27.21,5763.69,3434.49,2963.63,841.571,0.0,6.18665,362.735,1.8,3.48,16.1,9000.0,,2.85964,23.576,9.461,2.791,73.5,61.0,1816,1331489,1298807,2630296,11.1111,730591,1899705,3.12,7.81,Flawed democracy,19.7,Mokgweetsi Masisi,President
Brazil,Federative Republic of Brazil,Brazilian real,Brasília,South America,Americas,Brazilian,-10.0,-55.0,2368790.0,4966200.0,8358140.0,8385500.0,45853.3,86.095,32.1991,1920100000000.0,9.28011,35.0868,14.3168,9.461,30.6823,99.4621,10.8091,4.72241,61.8485,13.6662,2.60357,5.04425,12.1184,11.8701,59.1075,50.05,414139.0,449214.0,191103.0,-12454.9,1.74176,10.3129,700.713,2.09,0.24,6.9,762000.0,5600,1.19081,12.883,8.326,1.641,80.69,73.0,20376,109580471,105733027,215313498,17.7388,26795765,188517733,2.38,6.97,Flawed democracy,29.2,Jair Bolsonaro,President
Brunei,Brunei Darussalam,Brunei dollar,Bandar Seri Begawan,South-Eastern Asia,Asia,Bruneian,4.5,114.66666666,134.0,3800.0,5270.0,5571.88,199.172,,,16681500000.0,3.68225,9.0859,,7.203,6.54967,100.0,0.00483967,0.0,0.0,98.9524,0.0,1.0,0.047619,-357.394,99.9952,0.01,9588.0,1538.87,137.896,-902.126,13.9375,2.39378,650.478,2.85,,2.7,8000.0,,3.26223,13.8,5.211,1.778,98.08,75.0,-192,216797,232205,449002,9.09091,94946,354056,1.52,0.0,Unknown,28.2,Hassanal Bolkiah,Sultan and Prime Minister
Bulgaria,Republic of Bulgaria,Bulgarian lev,Sofia,Eastern Europe,Europe,Bulgarian,43.0,25.0,50470.0,38930.0,108560.0,108914.0,2109.34,32.8099,36.3698,89040400000.0,15.3253,10.4751,20.6213,4.402,7.02222,99.8,25.8257,46.2066,11.6142,3.82422,33.8121,0.373395,6.37438,36.5508,71.0459,21.08,34138.1,6980.5,4328.73,-7702.91,1.18594,8.52064,856.705,7.45,0.03,9.7,37000.0,,1.59489,8.5,21.7,1.58,75.2714,72.0,-8716,3329964,3135133,6465097,24.1667,1528155,4936942,2.23,7.03,Flawed democracy,40.7,Boyko Borisov,Prime Minister
Burkina Faso,Burkina Faso,West African CFA franc,Ouagadougou,Western Africa,Africa,Burkinabe,13.0,-2.0,121430.0,62164.0,273600.0,273918.0,1599.3,55.4693,18.1435,18884600000.0,14.2902,87.0917,15.9065,5.175,86.46,18.9507,,,,,,,,,,68.0,5456.7,15408.3,10060.7,2087.93,0.0,6.71933,54.177,0.4,0.08,7.5,11000.0,1882000,2.89113,35.541,8.958,4.772,21.5798,59.0,-13097,11374607,11299155,22673762,16.9014,15446047,7227715,3.19,4.75,Hybrid regime,12.9,Roch Marc Christian Kaboré,President
Burundi,Republic of Burundi,Burundi franc,Bujumbura,Eastern Africa,Africa,Burundian,-3.5,30.0,20330.0,2796.4,25680.0,24150.6,887.842,162.561,20.6476,3073410000.0,18.8009,88.1857,13.5974,1.02,86.9217,10.2338,,,,,,,,,,83.25,713.466,1258.19,1636.39,-293.618,0.0,6.50142,16.4202,0.79,0.14,6.2,51000.0,8500,1.9228,34.842,7.474,5.078,5.80492,62.0,-14415,6488650,6400926,12889576,38.2114,11031286,1858290,1.48,2.33,Authoritarian,11.9,Pierre Nkurunziza,President
Cabo Verde,Republic of Cabo Verde,Cabo Verde escudo,Praia,Western Africa,Africa,Cape Verdian,16.0,-24.0,790.0,457.2,4030.0,4043.85,59.5543,,25.194,2314820000.0,1.86215,31.2644,17.8036,13.57,27.0558,95.5214,,,,,,,,,0.0,23.24,620.6,93.2076,59.4756,460.313,1.01686,6.01976,176.024,2.1,0.24,12.9,1000.0,,0.535772,16.951,6.028,1.896,69.7623,74.0,-1274,298239,294911,593149,38.8889,192507,400642,3.95,7.88,Flawed democracy,22.9,,
Cambodia,Kingdom of Cambodia,Cambodian riel,Phnom Penh,South-Eastern Asia,Asia,Cambodian,13.0,105.0,57890.0,80683.7,176520.0,176181.0,1838.75,,18.448,29956800000.0,5.3437,47.1662,16.3649,0.361,47.0458,82.5017,3.31927,48.3966,45.4856,0.0,0.0,5.18535,0.932454,33.1163,30.6291,51.41,18652.8,17836.4,4784.59,3983.04,0.687841,7.50527,115.765,0.9,0.07,4.9,191000.0,,2.31636,19.334,6.838,2.344,60.1524,70.0,-24262,8468316,8299527,16767842,20.8,12556766,4211076,1.7,3.59,Authoritarian,22.7,Hun Sen,Prime Minister
Cameroon,Republic of Cameroon,Central African CFA franc,Yaoundé,Middle Africa,Africa,Cameroonian,6.0,12.0,97500.0,203405.0,472710.0,463837.0,2352.11,79.4577,12.0603,44341600000.0,6.24768,75.236,10.8706,4.001,72.3258,65.4467,4.60076,0.0,74.9926,5.9929,0.0,17.8899,1.12459,-28.3198,38.3179,78.94,9928.4,17797.7,62399.5,1385.67,1.91662,3.76583,58.0053,1.3,0.56,9.0,34000.0,987000,1.02409,34.938,8.582,4.463,45.6022,60.0,-9889,13992014,13922522,27914536,33.8889,11519492,16395044,1.81,3.28,Authoritarian,13.6,Paul Biya,President
Canada,Canada,Canadian dollar,Ottawa,Northern America,Americas,Canadian,60.0,-95.0,577430.0,3469280.0,8965590.0,9197140.0,13983.1,64.0401,22.7334,2139840000000.0,6.8028,14.341,13.2594,5.209,10.3438,100.0,19.7708,9.83645,56.7442,10.016,15.5466,1.21478,6.26726,-72.5282,74.0891,23.85,516874.0,100143.0,47080.3,-112199.0,0.892721,11.6788,6086.08,2.52,,11.8,72000.0,,1.31515,9.6,7.8,1.43,92.834,83.0,195181,19583244,19346659,38929902,30.4734,7103929,31825973,4.98,9.15,Full democracy,36.4,Justin Trudeau,Prime Minister
Central African Republic,Central African Republic,Central African CFA franc,Bangui,Middle Africa,Africa,Central African,7.0,21.0,50800.0,223030.0,622980.0,622165.0,535.376,,11.6614,2382620000.0,5.58317,94.4614,8.20629,6.363,93.634,15.6803,,,,,,,,,,90.45,236.6,10108.5,10628.6,-203.229,0.0,9.40207,41.9605,1.0,0.58,12.3,10000.0,516000,1.85868,42.68,11.393,5.978,10.5826,54.0,-85860,2790791,2788352,5579144,12.8571,3173417,2405727,1.65,1.52,Authoritarian,10.8,Faustin-Archange Touadéra,President
Chad,Republic of Chad,Central African CFA franc,N'Djamena,Middle Africa,Africa,Chadian,15.0,19.0,502380.0,43130.0,1259200.0,1272920.0,948.824,,,12704100000.0,5.78803,91.9565,,1.412,90.6055,11.2686,,,,,,,,,,73.74,1568.4,59438.9,27724.6,-70.9411,0.0,5.40749,34.8013,0.4,0.21,6.4,45000.0,300000,2.79414,43.357,12.504,6.255,17.8689,53.0,9016,8827313,8896002,17723315,25.8883,13458554,4264761,2.13,1.61,Authoritarian,11.2,Idriss Déby,President
Chile,Republic of Chile,Chilean peso,Santiago,South America,Americas,Chilean,-30.0,-71.0,157100.0,182107.0,743532.0,723594.0,3579.67,13.1456,30.695,301025000000.0,11.6439,27.0258,19.5982,7.784,23.3127,100.0,5.72221,37.1443,31.6779,15.0649,0.0,4.1864,11.9265,65.2365,74.6472,26.73,84827.8,11795.5,6599.43,7591.47,0.65996,9.09628,1478.83,2.06,0.2,9.0,122000.0,,1.96336,11.788,7.426,1.537,90.1934,79.0,113709,9874202,9729531,19603733,35.4839,2369699,17234034,3.05,7.97,Flawed democracy,31.3,Sebastián Piñera,President
China,People's Republic of China,Chinese yuan,Beijing,Eastern Asia,Asia,Chinese,35.0,105.0,5285080.0,2199780.0,9424700.0,8723720.0,522345.0,,,17963200000000.0,1.97358,44.5337,8.09063,4.886,40.5444,100.0,5.10702,70.3094,19.0698,2.48703,2.33929,0.165618,4.857,15.0218,87.6704,14.81,10944700.0,1186290.0,536920.0,-364711.0,4.35331,5.5936,583.432,4.31,,8.1,2535000.0,,1.73634,7.52,7.18,1.164,73.05,78.0,-200194,691528501,720646499,1412175000,24.9412,514596570,897578430,0.99,3.32,Authoritarian,34.5,Xi Jinping,General Secretary of the Communist Party
Colombia,Republic of Colombia,Colombian peso,Bogotá,South America,Americas,Colombian,4.0,-72.0,482428.0,591419.0,1109500.0,1127200.0,5114.56,79.7841,34.9567,343939000000.0,10.1772,50.9077,14.4434,10.726,47.5739,99.9991,9.20354,11.8522,64.9594,19.3431,0.0,0.567976,3.27745,-274.133,76.6857,31.31,79057.6,77156.4,23778.2,11462.4,1.78024,8.99294,477.275,1.71,0.17,3.9,481000.0,4766000,3.40189,14.204,7.735,1.717,73.0284,73.0,211978,26298417,25575607,51874024,28.877,9311387,42562637,1.83,6.96,Flawed democracy,27.2,Iván Duque,President
